"","섹터","종목코드","종목명"
"535","산업재","077970","STX엔진"
"536","산업재","230980","솔트웍스"
"537","산업재","035200","프럼파스트"
"538","산업재","141070","맥스로텍"
"539","산업재","114190","웰크론강원"
"540","산업재","138070","신진에스엠"
"541","산업재","002410","범양건영"
"542","산업재","044060","조광ILI"
"543","산업재","076080","웰크론한텍"
"544","산업재","051980","중앙리빙테크"
"545","산업재","129260","인터지스"
"546","산업재","198440","고려시멘트"
"547","산업재","079650","서산"
"548","산업재","189860","서전기전"
"549","산업재","010660","화천기계"
"550","산업재","101170","우림기계"
"551","산업재","158310","인터불스"
"552","산업재","038010","제일테크노스"
"553","산업재","226360","이엑스티"
"554","산업재","043340","에쎈테크"
"555","산업재","104460","동양피엔에프"
"556","산업재","007680","대원"
"557","산업재","099410","동방선기"
"558","산업재","032280","삼일"
"559","산업재","192390","윈하이텍"
"560","산업재","044780","에이치케이"
"561","산업재","023960","에쓰씨엔지니어링"
"562","산업재","048770","TPC"
"563","산업재","263540","샘코"
"564","산업재","134790","시디즈"
"565","산업재","000650","천일고속"
"566","산업재","069140","누리플랜"
"567","산업재","101670","코리아에스이"
"568","산업재","079000","와토스코리아"
"569","산업재","014940","오리엔탈정공"
"570","산업재","001140","국보"
"571","산업재","025950","동신건설"
"572","산업재","006570","대림통상"
"573","산업재","073190","듀오백"
"574","산업재","054410","케이피티유"
"575","산업재","258610","이더블유케이"
"576","산업재","005450","신한"
"577","산업재","215090","한컴유니맥스"
"578","산업재","008830","대동기어"
"579","산업재","025890","한국주강"
"580","경기관련소비재","005380","현대차"
"581","경기관련소비재","012330","현대모비스"
"582","경기관련소비재","051900","LG생활건강"
"583","경기관련소비재","000270","기아차"
"584","경기관련소비재","090430","아모레퍼시픽"
"585","경기관련소비재","021240","코웨이"
"586","경기관련소비재","035250","강원랜드"
"587","경기관련소비재","139480","이마트"
"588","경기관련소비재","161390","한국타이어"
"589","경기관련소비재","081660","휠라코리아"
"590","경기관련소비재","023530","롯데쇼핑"
"591","경기관련소비재","008770","호텔신라"
"592","경기관련소비재","035760","CJ ENM"
"593","경기관련소비재","002790","아모레G"
"594","경기관련소비재","004170","신세계"
"595","경기관련소비재","018880","한온시스템"
"596","경기관련소비재","282330","BGF리테일"
"597","경기관련소비재","030000","제일기획"
"598","경기관련소비재","069960","현대백화점"
"599","경기관련소비재","161890","한국콜마"
"600","경기관련소비재","007070","GS리테일"
"601","경기관련소비재","025980","아난티"
"602","경기관련소비재","192820","코스맥스"
"603","경기관련소비재","204320","만도"
"604","경기관련소비재","041510","에스엠"
"605","경기관련소비재","034230","파라다이스"
"606","경기관련소비재","111770","영원무역"
"607","경기관련소비재","035900","JYP Ent."
"608","경기관련소비재","114090","GKL"
"609","경기관련소비재","214320","이노션"
"610","경기관련소비재","057050","현대홈쇼핑"
"611","경기관련소비재","028150","GS홈쇼핑"
"612","경기관련소비재","039130","하나투어"
"613","경기관련소비재","253450","스튜디오드래곤"
"614","경기관련소비재","011210","현대위아"
"615","경기관련소비재","122870","와이지엔터테인먼트"
"616","경기관련소비재","079160","CJ CGV"
"617","경기관련소비재","020000","한섬"
"618","경기관련소비재","073240","금호타이어"
"619","경기관련소비재","031430","신세계인터내셔날"
"620","경기관련소비재","298020","효성티앤씨"
"621","경기관련소비재","093050","LF"
"622","경기관련소비재","071840","롯데하이마트"
"623","경기관련소비재","036420","제이콘텐트리"
"624","경기관련소비재","073070","에스모"
"625","경기관련소비재","032350","롯데관광개발"
"626","경기관련소비재","000240","한국타이어월드와이드"
"627","경기관련소비재","080160","모두투어"
"628","경기관련소비재","009970","영원무역홀딩스"
"629","경기관련소비재","060980","한라홀딩스"
"630","경기관련소비재","037560","CJ헬로"
"631","경기관련소비재","105630","한세실업"
"632","경기관련소비재","005850","에스엘"
