"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"1781","290670","대보마그네틱","66,000","1,200","+1.85%","500","2,134","3,233",0.59,"46,226","43.77","77.71","코스닥"
"1782","123860","아나패스","21,050","100","-0.47%","500","2,132","10,128",5.06,"8,334","314.18","0.89","코스닥"
"1783","086980","쇼박스","3,405","80","+2.41%","500","2,132","62,600",3.85,"324,345","13.46","11.95","코스닥"
"1784","089030","테크윙","11,250","0","0.00%","500","2,118","18,828",8.24,"33,934","5.37","29.18","코스닥"
"1785","006620","동구바이오제약","22,000","200","-0.90%","500","2,113","9,604",1.03,"33,674","15.05","36.61","코스닥"
"1786","241690","유니테크노","17,700","50","+0.28%","500","2,111","11,928",0.48,"9,409","34.04","11.82","코스닥"
"1787","232140","와이아이케이","3,415","15","+0.44%","100","2,110","61,788",2.02,"128,239","14.47","23.73","코스닥"
"1788","102710","이엔에프테크놀로지","14,650","250","+1.74%","500","2,084","14,228",12.71,"152,492","7.48","15.90","코스닥"
"1789","044490","태웅","10,400","0","0.00%","500","2,081","20,007",4.41,"42,894","-34.9","-0.94","코스닥"
"1790","168330","내츄럴엔도텍","10,050","50","-0.50%","500","2,077","20,666",6.17,"141,532","-22.33","-18.67","코스닥"
"1791","143240","사람인에이치알","17,850","150","-0.83%","500","2,077","11,634",16.04,"7,207","60.92","4.56","코스닥"
"1792","048410","현대바이오","6,140","70","-1.13%","500","2,070","33,719",2.27,"436,408","157.44","4.96","코스닥"
"1793","049180","셀루메드","10,100","250","-2.42%","500","2,063","20,428",8.13,"498,030","-20.87","-19.30","코스닥"
"1794","036800","나이스정보통신","20,400","450","+2.26%","500","2,040","10,000",29.6,"19,940","5.56","22.14","코스닥"
"1795","180400","캔서롭","9,310","10","+0.11%","500","2,038","21,890",0.3,"425,655","-76.94","-6.83","코스닥"
"1796","060590","씨티씨바이오","10,550","250","-2.31%","500","2,037","19,311",1.57,"1,435,214","-8.95","-25.11","코스닥"
"1797","131970","테스나","29,650","3,150","+11.89%","500","2,031","6,850",9.72,"331,599","22.58","14.33","코스닥"
"1798","035890","서희건설","1,170","10","-0.85%","500","2,030","173,468",9.4,"1,219,595","6.32","13.36","코스닥"
"1799","092130","이크레더블","16,850","50","+0.30%","500","2,029","12,044",16.25,"20,288","16.2","27.80","코스닥"
"1800","137940","넥스트아이","2,620","135","+5.43%","100","2,020","77,116",61.22,"557,849","-93.57","-2.85","코스닥"
"1801","263720","디앤씨미디어","16,750","150","+0.90%","500","2,017","12,041",2.64,"21,501","37.9","23.42","코스닥"
"1802","064260","다날","3,695","0","0.00%","500","2,009","54,375",3.38,"120,612","16.35","7.49","코스닥"
"1803","048550","SM C&C","2,130","30","-1.39%","500","2,003","94,061",3.62,"99,217","-11.27","-16.54","코스닥"
"1804","036890","진성티이씨","8,830","160","+1.85%","500","1,985","22,482",2.31,"118,904","19.8","9.90","코스닥"
"1805","039560","다산네트웍스","6,590","10","+0.15%","500","1,974","29,955",4.47,"205,905","-92.82","-1.30","코스닥"
"1806","054050","농우바이오","12,250","150","-1.21%","500","1,964","16,031",2.77,"108,599","18.82","5.45","코스닥"
"1807","018310","삼목에스폼","13,250","50","+0.38%","500","1,948","14,700",5.5,"25,419","5.55","11.49","코스닥"
