"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-06-15",-0.002083566,-0.008474576,-0.026127532,0.001640503,0,0,0.005524862,0,0.006473829,-0.010403883
"1993-06-16",0.002087916,-0.010683761,-0.012279094,0.003925112,-0.004424779,0,0.005494505,0,0.007253319,0.005133479
"1993-06-17",0.003467804,0.002159827,-0.005278469,-0.004387939,0.004444444,0,-0.00273224,0,0.003940217,-0.000227849
"1993-06-18",-0.008233616,-0.004310345,-0.027019803,0.00745847,0,0,0.002739726,0,0.003924753,0.000180601
"1993-06-19",0,0,0,0,0,0,0,0,0,0
"1993-06-20",0,0,0,0,0,0,0,0,0,0
"1993-06-21",0.00210447,-0.004329004,-0.039277003,-0.00224341,0.004424779,0,0,0,-0.000943651,-0.000692178
"1993-06-22",0.000701222,0,0.01457779,-0.00207982,0,0,0.00273224,0,-0.004722709,-0.005502543
"1993-06-23",-0.00420077,-0.004347826,0.016721002,-0.004027488,0,0,0.002724796,0,-0.004609544,0.006454432
"1993-06-24",0.008440609,-0.006550218,0.012202915,-0.008879337,0.004405286,0.003205128,0,0,0.018523563,0.001362556
"1993-06-25",-0.000697797,0.006593407,0.020793641,0.012667979,0.004385965,0.003194888,0.005434783,0,0.005883926,-0.000403489
"1993-06-26",0,0,0,0,0,0,0,0,0,0
"1993-06-27",0,0,0,0,0,0,0,0,0,0
"1993-06-28",0.011165342,0.006550218,0.01136581,0.003831741,0.004366812,0,0,0,-0.00199415,0.002018259
"1993-06-29",-0.004830454,0.004338395,-0.018649923,-0.001094614,0,0,0.002702703,0,0,-0.002691306
"1993-06-30",0,0.008639309,-0.005837428,-0.00303456,0.004347826,0,0.008086253,-0.040753076,0.008258958,0.001418037
"1993-07-01",-0.002775701,-0.004282655,0.016417557,-0.00622851,0,0,0,0,0.001453296,-0.002866387
"1993-07-02",-0.005563267,-0.006451613,-0.026368486,0.004367431,0,0.006369427,0,0,0.024010554,-0.001179113
"1993-07-03",0,0,0,0,0,0,0,0,0,0
"1993-07-04",0,0,0,0,0,0,0,0,0,0
"1993-07-05",0,0,-0.004045353,0.007087392,0,0,0,0,-0.001288328,0
"1993-07-06",-0.010489031,0,0.011090856,-0.000785061,-0.004329004,0,0,0,0.010448916,0.01292524
"1993-07-07",0.002825024,0,0.0075321,0.003142713,0,0,0,0,0.010596196,-0.007873111
"1993-07-08",0.011275531,0.002164502,-0.010999736,0.003412587,0.004347826,0,0,0,-0.001515917,-0.007112449
"1993-07-09",0.00278925,-0.006479482,-0.003264012,0.001142953,0,0,0.005347594,0,-0.005313765,0.000686546
"1993-07-10",0,0,0,0,0,0,0,0,0,0
"1993-07-11",0,0,0,0,0,0,0,0,0,0
"1993-07-12",-0.000695373,-0.002173913,0.011137025,-0.000640437,0.004329004,0.003164557,0.005319149,0,0.000763165,-0.000280471
"1993-07-13",-0.000695857,0.002178649,0.021426908,-0.00066871,0,-0.003154574,0,0,-0.002414845,-0.002287559
"1993-07-14",0.003481707,0.008695652,0.008021064,-0.007555903,0.00862069,0.003164557,0.005291005,0,0.004968786,-0.014055321
"1993-07-15",-0.004163552,-0.002155172,-0.010156911,-0.005028796,0,0,0,0,-0.004310345,0.001053052
"1993-07-16",-0.002783714,-0.006479482,0.015172116,0.003190648,0,0,0,0,-0.001782531,-0.00808682
"1993-07-17",0,0,0,0,0,0,0,0,0,0
"1993-07-18",0,0,0,0,0,0,0,0,0,0
"1993-07-19",-0.000698772,0.015217391,-0.018013719,0.004053027,0,0,-0.002631579,0,0.007142857,0.020653634
"1993-07-20",0.002793437,0,-0.002110407,0.000981134,0,-0.003154574,-0.002638522,0,-0.006838906,-0.008143633
"1993-07-21",-0.000693718,-0.004282655,0.002326751,0.002436429,-0.008547009,-0.006329114,-0.002645503,0,0.000765111,0.00242692
"1993-07-22",-0.006974369,0,0.024957066,-0.005140383,-0.004310345,-0.003184713,0,0,-0.008282365,-0.002860838
"1993-07-23",0.00491526,-0.004301075,-0.03150516,0.010867429,-0.004329004,-0.003194888,-0.00265252,0,0.005524862,0.006380024
"1993-07-24",0,0,0,0,0,0,0,0,0,0
"1993-07-25",0,0,0,0,0,0,0,0,0,0
"1993-07-26",0.005590479,0.006479482,0.007445312,-0.001416745,0,0.003205128,-0.002659574,0,0.001150013,0.005801516
"1993-07-27",-0.000695373,0.004291845,0.008598667,8.35e-05,0,0,0,0,0.001531589,0.011005462
"1993-07-28",-0.00208757,0,-0.001320831,0.004200278,0.004347826,0,0.002666667,0,0.002038996,-0.005359619
"1993-07-29",0.005574905,0.006410256,0.026501498,0.00886402,0.008658009,0.006389776,0.002659574,0,0.002162025,-0.001334254
"1993-07-30",-0.005543998,-0.006369427,0.009994794,-0.002690755,0.004291845,-0.003174603,-0.00265252,0.031240115,0.019670051,-0.007505005
"1993-07-31",0,0,0,0,0,0,0,0,0,0
"1993-08-01",0,0,0,0,0,0,0,0,0,0
"1993-08-02",0.00278925,0.008547009,0.005474445,0.002753077,0,0,0,0,0.009583074,0.00480455
"1993-08-03",0.000695373,0.016949153,-0.000360254,-0.000219641,0.004273504,0.003184713,0,0,-0.004561144,-0.00037908
"1993-08-04",0,0.004166667,0.002553319,0.003981876,-0.004255319,0,0.002659574,0,-0.002724458,-0.001042865
"1993-08-05",-0.002084669,-0.004149378,0.001456084,0.00202407,0.004273504,0.003174603,-0.00265252,0,-0.037004843,-0.008239471
"1993-08-06",0.001392683,0.008333333,-0.003505372,-0.002101873,-0.004255319,-0.003164557,0,0,-0.021534494,-0.000330577
"1993-08-07",0,0,0,0,0,0,0,0,0,0
"1993-08-08",0,0,0,0,0,0,0,0,0,0
"1993-08-09",0.005559399,0.006198347,0.001361337,-0.003118418,0.008547009,0.006349206,0.002659574,0,0.006062203,0.003763733
"1993-08-10",-0.000691528,-0.012320329,0.002996801,0.001179925,0,-0.003154574,-0.00530504,0,-0.003536809,-0.00353288
"1993-08-11",0,0.002079002,0.020921975,0.006577865,0.004237288,0.003164557,0.005333333,0,-0.011436834,0.010823274
"1993-08-12",-0.002764461,0.008298755,0.008385246,0.001470348,-0.004219409,0,-0.00265252,0,0.000797872,0.002986706
"1993-08-13",0.001384274,-0.002057613,0.010213603,0.005954323,0.004237288,0,0.005319149,0,-0.023119851,0.001913695
"1993-08-14",0,0,0,0,0,0,0,0,0,0
"1993-08-15",0,0,0,0,0,0,0,0,0,0
"1993-08-16",0.005540156,0.008247423,0.009815667,0.006486662,0,0.003154574,0,0,0.013601741,-0.005310424
"1993-08-17",0.00344574,0.014314928,0.003075317,0.011922984,0,0,0,0,-0.002683843,0.003556313
"1993-08-18",0.005490713,0.016129032,-0.00928336,0.003954038,0,0,0,0,0.005651238,-0.006572597
"1993-08-19",0,0.007936508,-0.043738877,0.013110594,0.004219409,0.003144654,0,0,-0.000802783,0.000388673
